genename,Test_Os1,Test_Os2,Test_Os3,Test_Ch1,Test_Ch2,Test_Ch3,Test_Ad1,Test_Ad2,Test_Ad3,Test_MSC1,Test_MSC2,Test_MSC3
AC004000.1,0,0,0,7,0,0,0,0,2,0,4,5
AC004004.1,0,0,0,1,0,0,0,0,0,0,0,0
AC004006.1,0,0,0,0,1,0,0,0,0,0,0,0
AC004009.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004009.2,0,0,0,2,0,0,0,0,0,0,0,0
AC004009.3,0,0,0,2,0,0,0,0,0,0,0,0
AC004012.1,0,0,1,8,0,0,0,0,0,0,0,0
AC004014.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004014.2,0,0,0,0,0,0,0,0,0,0,1,0
AC004022.1,0,0,0,5,0,0,0,0,0,0,0,0
AC004022.2,0,0,0,0,0,0,0,0,0,0,0,0
AC004023.1,0,0,0,5,0,0,0,0,0,0,0,0
AC004024.1,0,0,0,0,0,0,0,0,1,0,2,0
AC004034.1,0,0,0,0,0,0,0,0,1,0,1,1
AC004039.1,0,0,0,21,12,17,0,0,2,0,3,2
AC004047.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004052.1,0,0,0,0,37,0,0,0,0,0,0,0
AC004053.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004054.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004057.1,0,0,3,6,0,0,0,5,50,0,2,26
AC004062.1,0,0,0,6,0,0,0,0,0,0,0,0
AC004063.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004066.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004067.1,0,0,0,1,0,48,0,1,3,0,5,3
AC004069.1,0,0,0,5,0,0,0,3,0,0,2,0
AC004069.2,0,0,0,0,0,0,0,0,0,0,0,0
AC004069.3,0,0,0,0,0,0,0,0,0,0,0,0
AC004074.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004076.1,0,0,0,0,0,0,0,0,1,0,0,3
AC004076.2,0,0,0,25,39,10,0,2,11,0,22,15
AC004080.1,0,0,0,3,0,0,0,0,0,0,0,0
AC004080.15,0,0,0,0,0,0,0,0,0,0,0,0
